run,source_run,shear_s_per_m,traces_per_update,optimizer_updates,total_point_draws_including_repeats,target_trace_count,target_sample_count,target_snr_db,target_rmse,observed_model_rmse_before_reinsertion_native_record,observed_reinsertion_max_abs_difference,truth_rms,prediction_rms,uncentered_cosine,truth_energy,prediction_energy,truth_prediction_dot,error_energy,energy_identity_absolute_difference,final_batch_loss,training_seconds,outer_action_seconds
full_no_shear,runs/study_031_c3_siren_10db/20260909T011832015888Z_1819109f28e1_siren,0.0,14729,5000,28279680000,58999,22655616,-2.9480293493135257,13.954912444249095,5.041192258591539,0.0,9.938609992960336,9.467818406311453,-0.033603783378716126,2237830414.4522877,2030840024.6527228,-71637367.71626417,4411945174.5375395,9.5367431640625e-07,0.2649999557333905,1349.400905684568,1387.3570960378274
full_fixed_shear,runs/study_031_c3_siren_10db/20260909T015011064447Z_1819109f28e1_siren,0.0006,14729,5000,28279680000,58999,22655616,7.883116007688606,4.0102352316817695,3.310464996904529,0.0,9.938609992960336,9.35365838027351,0.9153430604830962,2237830414.4522877,1982160802.4339316,1927821951.8276982,364347313.2308232,6.556510925292969e-07,0.11210164730184705,1267.3381876535714,1298.3319324962795
